Code,Municipality,Population,Reference Date,Year,Annual financial statement,Debts,Public-private partnerships,Leasing,Total debts,Revenues,Expenditures
80408,Götzis,10095,31.10.2001,2008,31.12.2008,1809237447,3443100,13947963,2185830817,2824853471,2824853471
80409,Klaus,2793,31.10.2001,2008,31.12.2008,562474322,4059700,666086,969110408,6780095,6780095
80410,Koblach,3797,31.10.2001,2008,31.12.2008,265780551,400600,21628921,327469472,782734217,782734217
80411,Laterns,734,31.10.2001,2008,31.12.2008,193563328,0,22269254,215832582,233212092,233212092
80412,Mäder,3142,31.10.2001,2008,31.12.2008,507096004,0,250444204,757540208,793817499,793817499
80413,Meiningen,1872,31.10.2001,2008,31.12.2008,23978635,0,8558921,32537556,330992268,330992268
80414,Rankweil,11171,31.10.2001,2008,31.12.2008,1041942186,3721200,14054797,143466076,2804477834,2804477834
80415,Röns,289,31.10.2001,2008,31.12.2008,70497964,0,0,70497964,947756,947756
80416,Röthis,1997,31.10.2001,2008,31.12.2008,114549782,0,0,114549782,436726378,436726378
80417,Satteins ,2435,31.10.2001,2008,31.12.2008,11565834,0,0,11565834,677325999,677325999
80418,Schlins,2042,31.10.2001,2008,31.12.2008,452203664,0,0,452203664,494410445,494410445
80419,Schnifis,706,31.10.2001,2008,31.12.2008,58265532,0,964399,67909522,305267697,305267697
80420,Sulz,2189,31.10.2001,2008,31.12.2008,471701148,0,254478022,72617917,495440221,508765502
80421,Übersaxen,567,31.10.2001,2008,31.12.2008,113635566,923300,2998462,208964028,133890287,133890287
80422,Viktorsberg,378,31.10.2001,2008,31.12.2008,41118789,0,11019242,52138031,81841873,81841873
80423,Weiler,1748,31.10.2001,2008,31.12.2008,131351797,795800,49604945,260536742,412202246,412202246
80424,Zwischenwasser ,3050,31.10.2001,2008,31.12.2008,380528423,1471200,166687,544317123,550198983,575212013
80101,Bartholomäberg,2263,31.10.2008,2009,31.12.2009,403787944,0,321800996,72558894,691842966,716163552
80102,Blons,337,31.10.2008,2009,31.12.2009,186428557,2608100,0,447238557,123766988,124612797
80103,Bludenz  ,13809,31.10.2008,2009,31.12.2009,194924038,6011800,18015997,2554173897,3610901188,3610901188
80104,Bludesch,2257,31.10.2008,2009,31.12.2009,488313061,471600,34494886,569967947,544597147,544597147
80105,Brand,651,31.10.2008,2009,31.12.2009,534687027,0,0,534687027,329442599,329442599
80106,Bürs,3039,31.10.2008,2009,31.12.2009,594574181,1920200,108232764,894826945,1067281007,1067281007
80107,Bürserberg,509,31.10.2008,2009,31.12.2009,475961344,0,5464913,481426257,382296462,382296462
80108,Dalaas,1530,31.10.2008,2009,31.12.2009,555608467,600000,0,615608467,421926298,421926298
80109,Fontanella,423,31.10.2008,2009,31.12.2009,295945527,0,0,295945527,215022613,279772628
80110,Gaschurn,1577,31.10.2008,2009,31.12.2009,316195573,0,1304029,317499602,694639251,625264532
80111,Innerbraz,988,31.10.2008,2009,31.12.2009,66524501,457600,64346,112348847,20982959,20982959
80112,Klösterle,727,31.10.2008,2009,31.12.2009,577951158,0,0,577951158,355156355,355156355
80113,Lech,1652,31.10.2008,2009,31.12.2009,365261166,10114000,205208,1378713246,1775167672,1737263597
80114,Lorüns,300,31.10.2008,2009,31.12.2009,89628685,0,5593229,95221914,128994139,128994139
80115,Ludesch,3199,31.10.2008,2009,31.12.2009,1300623635,5913100,0,1891933635,943168381,943168381
80116,Nenzing,5999,31.10.2008,2009,31.12.2009,1760364919,2018600,7457661,2461136768,1505070707,1556144694
80117,Nüziders,4864,31.10.2008,2009,31.12.2009,511877829,2768600,124075686,912813515,973765134,973765134
80118,Raggal,853,31.10.2008,2009,31.12.2009,157834968,1917000,1145695,360991918,274177783,274177783
80119,St. Anton i.M.,688,31.10.2008,2009,31.12.2009,170351171,0,0,170351171,143086719,143086719
80120,St. Gallenkirch,2241,31.10.2008,2009,31.12.2009,812112753,0,1383985,813496738,784376534,951367938
80121,St. Gerold,353,31.10.2008,2009,31.12.2009,255260395,0,0,255260395,183055153,188745539
80122,Schruns,3689,31.10.2008,2009,31.12.2009,959973758,557000,15662532,103133629,1366497353,1488340229
80123,Silbertal,883,31.10.2008,2009,31.12.2009,205902982,0,0,205902982,274496827,323675976
80124,Sonntag,674,31.10.2008,2009,31.12.2009,373622747,1189000,15160711,507683458,242986961,278515426
80125,Stallehr,262,31.10.2008,2009,31.12.2009,130349997,0,0,130349997,109778791,109778791
80126,Thüringen,2195,31.10.2008,2009,31.12.2009,263810115,0,0,263810115,45413999,45413999
80127,Thüringerberg,683,31.10.2008,2009,31.12.2009,41242666,0,0,41242666,194224726,194224726
80128,Tschagguns,2209,31.10.2008,2009,31.12.2009,305782547,2847400,0,590522547,572923669,579831225
80129,Vandans,2634,31.10.2008,2009,31.12.2009,620218137,1747700,0,794988137,764063412,894039786
80201,Alberschwende,3080,31.10.2008,2009,31.12.2009,286064005,10116800,29484772,1327228777,872916035,872553367
80202,Andelsbuch,2308,31.10.2008,2009,31.12.2009,220474412,0,0,220474412,417904289,417904289
80203,Au,1684,31.10.2008,2009,31.12.2009,170624572,1942600,0,364884572,53825207,53825207
80204,Bezau,1988,31.10.2008,2009,31.12.2009,320210213,0,0,320210213,96475192,96475192
80205,Bildstein,701,31.10.2008,2009,31.12.2009,263274148,819000,0,345174148,462439135,462439135
80206,Bizau,1001,31.10.2008,2009,31.12.2009,44007205,0,0,44007205,274722923,274722923
80207,Bregenz,27300,31.10.2008,2009,31.12.2009,388850193,17383600,40757260,5909016746,8139218539,8139218539
80208,Buch,547,31.10.2008,2009,31.12.2009,23540057,0,0,23540057,110130563,110130563
80209,Damüls,318,31.10.2008,2009,31.12.2009,266274379,546300,0,320904379,200157043,200157043
80210,Doren,1021,31.10.2008,2009,31.12.2009,36513048,835500,268633,146926348,254559226,269442433
80211,Egg ,3359,31.10.2008,2009,31.12.2009,333541347,4369900,1573851,772105198,774202711,774202711
80212,Eichenberg,384,31.10.2008,2009,31.12.2009,76316471,0,0,76316471,99724862,99724862
80213,Fußach,3698,31.10.2008,2009,31.12.2009,39012868,5882800,0,97840868,99115553,99115553
80214,Gaißau,1630,31.10.2008,2009,31.12.2009,124382694,0,70203677,194586371,345527995,345527995
80215,Hard,12363,31.10.2008,2009,31.12.2009,958693278,0,14996746,1136613278,2978729235,2978729235
80216,Hittisau,1845,31.10.2008,2009,31.12.2009,79239438,0,0,79239438,382576452,382576452
80217,Höchst,7708,31.10.2008,2009,31.12.2009,2175306445,4161400,9690282,2619368642,1919430966,1919430966
80218,Hörbranz,6348,31.10.2008,2009,31.12.2009,128268509,0,6836547,186116648,1384093762,1384093762
80219,Hohenweiler,1266,31.10.2008,2009,31.12.2009,148663151,0,0,148663151,236145089,236145089
80220,Kennelbach,1888,31.10.2008,2009,31.12.2009,138554836,0,13483538,152038374,314366673,314366673
80221,Krumbach,992,31.10.2008,2009,31.12.2009,145111202,0,0,145111202,236877011,236877011
80222,Langen b.Breg.,1351,31.10.2008,2009,31.12.2009,1391446,0,0,1391446,262505264,262505264
80223,Langenegg,1052,31.10.2008,2009,31.12.2009,20795239,0,0,20795239,299607084,299607084
80224,Lauterach,9197,31.10.2008,2009,31.12.2009,1454702417,4803400,11567034,2233673703,2319591194,2319591194
80225,Lingenau,1320,31.10.2008,2009,31.12.2009,549771169,4589300,36827184,1045528353,342600927,342600927
80226,Lochau,5319,31.10.2008,2009,31.12.2009,429322481,0,5249619,472433064,1043298666,1043298666
80227,Mellau,1289,31.10.2008,2009,31.12.2009,140350465,775000,0,217850465,311488789,311488789
80228,Mittelberg,4845,31.10.2008,2009,31.12.2009,1437710754,1439700,0,1581680754,2458279426,2458279426
80229,Möggers,541,31.10.2008,2009,31.12.2009,126703425,0,8570852,135274277,160341388,160341388
80230,Reuthe,613,31.10.2008,2009,31.12.2009,29904707,0,0,29904707,182470619,182470619
80231,Riefensberg,987,31.10.2008,2009,31.12.2009,58768366,0,0,58768366,241573445,241573445
80232,Schnepfau,485,31.10.2008,2009,31.12.2009,20611788,684600,0,89071788,87306575,76531519
80233,Schoppernau,907,31.10.2008,2009,31.12.2009,10191315,2406300,0,34254315,318952728,318952728
80234,Schröcken,232,31.10.2008,2009,31.12.2009,343195496,0,0,343195496,239109933,2513639
80235,Schwarzach,3595,31.10.2008,2009,31.12.2009,256162939,9155800,0,1171742939,716809827,716809827
80236,Schwarzenberg,1788,31.10.2008,2009,31.12.2009,7531102,0,0,7531102,42124244,42124244
80237,Sibratsgfäll,385,31.10.2008,2009,31.12.2009,13844661,0,2961848,16806509,104550296,107547362
80238,Sulzberg,1753,31.10.2008,2009,31.12.2009,150404216,1160500,0,266454216,38307416,38307416
80239,Warth,182,31.10.2008,2009,31.12.2009,296395586,496000,0,345995586,295374937,295374937
80240,Wolfurt,8124,31.10.2008,2009,31.12.2009,186956175,0,13063371,186956175,2593163374,2593163374
80301,Dornbirn,44795,31.10.2008,2009,31.12.2009,1243797453,4000000,10628146,1361717895,2135212793,2135212793
80302,Hohenems,15088,31.10.2008,2009,31.12.2009,2860648221,6921500,15632826,3562783721,3130278438,3130278438
80303,Lustenau,20834,31.10.2008,2009,31.12.2009,5150739145,0,33111968,5490391069,6644520372,6644195808
80401,Altach,6315,31.10.2008,2009,31.12.2009,1515111142,0,7989082,1515111142,1621740629,1621740629
80402,Düns,379,31.10.2008,2009,31.12.2009,65081134,0,6006477,71087611,99091408,99091408
80403,Dünserberg,143,31.10.2008,2009,31.12.2009,6871174,0,49238,68760978,62429716,62747313
80404,Feldkirch,30581,31.10.2008,2009,31.12.2009,3375165969,3265000,34525389,4065152986,6888827299,6888827299
80405,Frastanz,6247,31.10.2008,2009,31.12.2009,788933909,3900000,7720159,1317479042,1516907064,1516907064
80406,Fraxern,650,31.10.2008,2009,31.12.2009,133551154,1951100,1246771,329907925,156173571,190106428
80407,Göfis,3000,31.10.2008,2009,31.12.2009,1336870723,0,0,1336870723,644027429,669856037
80408,Götzis,10653,31.10.2008,2009,31.12.2009,2203338686,3263400,13835802,2544727079,2768600614,2768600614
80409,Klaus,3088,31.10.2008,2009,31.12.2009,57577263,4618300,507902,1038110532,718224796,718224796
80410,Koblach,4128,31.10.2008,2009,31.12.2009,234364228,3432000,0,577564228,839362598,839362598
80411,Laterns,713,31.10.2008,2009,31.12.2009,175324545,0,15734524,191059069,243933237,243933237
80412,Mäder,3528,31.10.2008,2009,31.12.2009,537687342,0,230042435,767729777,724604281,724604281
80413,Meiningen,1957,31.10.2008,2009,31.12.2009,65551034,0,0,65551034,336915548,336915548
80414,Rankweil,11562,31.10.2008,2009,31.12.2009,976228914,3444900,13667125,1326911671,2713354521,2713354521
80415,Röns,307,31.10.2008,2009,31.12.2009,6431178,0,0,6431178,97247644,97247644
80416,Röthis,1956,31.10.2008,2009,31.12.2009,154232942,0,0,154232942,442145395,442145395
80417,Satteins ,2572,31.10.2008,2009,31.12.2009,94342104,0,0,94342104,516987573,516987573
80418,Schlins,2260,31.10.2008,2009,31.12.2009,445664681,0,0,445664681,550478433,550478433
80419,Schnifis,742,31.10.2008,2009,31.12.2009,144656347,0,1977296,146633643,270185268,270185268
80420,Sulz,2361,31.10.2008,2009,31.12.2009,454260789,0,227651038,681911827,492596724,492596724
80421,Übersaxen,613,31.10.2008,2009,31.12.2009,108626491,866900,102393,196340421,13033743,13033743
80422,Viktorsberg,383,31.10.2008,2009,31.12.2009,35532276,0,3315905,38848181,81094404,81094404
80423,Weiler,1920,31.10.2008,2009,31.12.2009,159152324,761600,3466718,269979504,460602016,460602016
80424,Zwischenwasser ,3109,31.10.2008,2009,31.12.2009,366102306,1402400,0,506342306,532210664,533916801
80101,Bartholomäberg,2263,31.10.2008,2010,31.12.2010,433083996,0,3088900,741973996,543970835,549351592
80102,Blons,337,31.10.2008,2010,31.12.2010,172889842,2569800,0,429869842,113675836,122141209
80103,Bludenz  ,13809,31.10.2008,2010,31.12.2010,2079697892,6972000,17957061,2785380469,3584179564,3584179564
80104,Bludesch,2257,31.10.2008,2010,31.12.2010,462245047,449900,30689815,537924862,464766291,513304095
80105,Brand,651,31.10.2008,2010,31.12.2010,56933664,0,-67917,569268723,362961765,362961765
80106,Bürs,3039,31.10.2008,2010,31.12.2010,554031105,2112900,94951991,860273096,837032972,837032972
80107,Bürserberg,509,31.10.2008,2010,31.12.2010,522292878,0,0,522292878,402430921,402430921
80108,Dalaas,1530,31.10.2008,2010,31.12.2010,493048681,542900,0,547338681,396967644,396967644
80109,Fontanella,423,31.10.2008,2010,31.12.2010,338448807,0,0,338448807,249985418,302101273
80110,Gaschurn,1577,31.10.2008,2010,31.12.2010,320594897,593200,0,379914897,695086912,804690998
80111,Innerbraz,988,31.10.2008,2010,31.12.2010,55497919,436000,0,99097919,211523141,211523141
80112,Klösterle,727,31.10.2008,2010,31.12.2010,697210436,0,0,697210436,527352418,527352418
80113,Lech,1652,31.10.2008,2010,31.12.2010,336477561,12979300,1472312,1635879873,180517685,178108062
80114,Lorüns,300,31.10.2008,2010,31.12.2010,85772017,0,0,85772017,109180537,109180537
80115,Ludesch,3199,31.10.2008,2010,31.12.2010,1354567861,6584900,0,2013057861,1206233787,1206233787
80116,Nenzing,5999,31.10.2008,2010,31.12.2010,1637911409,3153200,7891834,2462688705,1591269393,1591269393
80117,Nüziders,4864,31.10.2008,2010,31.12.2010,482896648,4483700,113091528,1044358176,935374445,935374445
80118,Raggal,853,31.10.2008,2010,31.12.2010,169742456,2064500,7303711,383496167,217120897,217120897
80119,St. Anton i.M.,688,31.10.2008,2010,31.12.2010,169384564,0,0,169384564,131178821,182428843
80120,St. Gallenkirch,2241,31.10.2008,2010,31.12.2010,811565559,0,0,811565559,963003285,86696123
80121,St. Gerold,353,31.10.2008,2010,31.12.2010,239355242,365500,0,275905242,105567059,119834259
80122,Schruns,3689,31.10.2008,2010,31.12.2010,1110648075,677200,16325131,1194693206,1526979405,1511422003
80123,Silbertal,883,31.10.2008,2010,31.12.2010,379707724,0,0,379707724,590508001,590508001
80124,Sonntag,674,31.10.2008,2010,31.12.2010,392897415,1072100,9713536,509820951,306918204,306995005
80125,Stallehr,262,31.10.2008,2010,31.12.2010,174548896,0,0,174548896,113966204,113966204
80126,Thüringen,2195,31.10.2008,2010,31.12.2010,23142757,0,0,23142757,463491151,463491151
80127,Thüringerberg,683,31.10.2008,2010,31.12.2010,34509583,1467400,0,181249583,206356288,206356288
80128,Tschagguns,2209,31.10.2008,2010,31.12.2010,386170187,2999900,0,686160187,743608208,76059155
80129,Vandans,2634,31.10.2008,2010,31.12.2010,865114614,1833000,0,1048414614,904210479,904210479
80201,Alberschwende,3080,31.10.2008,2010,31.12.2010,266106545,13584900,24789252,1649385797,731405805,731405805
80202,Andelsbuch,2308,31.10.2008,2010,31.12.2010,204314023,0,0,204314023,391576323,391576323
80203,Au,1684,31.10.2008,2010,31.12.2010,152245517,1829800,0,335225517,422798342,422798342
80204,Bezau,1988,31.10.2008,2010,31.12.2010,401914368,0,0,401914368,744867373,746107959
80205,Bildstein,701,31.10.2008,2010,31.12.2010,245958153,731200,0,319078153,275648959,332942496
80206,Bizau,1001,31.10.2008,2010,31.12.2010,36108927,0,0,36108927,175084356,175084356
80207,Bregenz,27300,31.10.2008,2010,31.12.2010,4069509279,17320100,41550439,6032463937,8302859978,8302859978
80208,Buch,547,31.10.2008,2010,31.12.2010,21314839,0,0,21314839,107947689,109456755
80209,Damüls,318,31.10.2008,2010,31.12.2010,247510876,609500,0,308460876,220134586,220134586
80210,Doren,1021,31.10.2008,2010,31.12.2010,47767218,859800,225829,156330118,245296017,245296017
80211,Egg ,3359,31.10.2008,2010,31.12.2010,345529877,1624100,818316,508758193,1129787325,1257585338
80212,Eichenberg,384,31.10.2008,2010,31.12.2010,79511974,0,0,79511974,105000317,121181313
80213,Fußach,3698,31.10.2008,2010,31.12.2010,35670323,6580500,0,101475323,91964733,91964733
80214,Gaißau,1630,31.10.2008,2010,31.12.2010,108222866,0,58823241,167046107,300898414,300898414
80215,Hard,12363,31.10.2008,2010,31.12.2010,1067033974,0,16013502,1221084575,3171939701,3171939701
80216,Hittisau,1845,31.10.2008,2010,31.12.2010,76796563,0,0,76796563,442659216,442659216
80217,Höchst,7708,31.10.2008,2010,31.12.2010,2038441251,3947000,8924241,2433141251,1785564905,1785564905
80218,Hörbranz,6348,31.10.2008,2010,31.12.2010,112897821,0,5699626,155124586,1108632372,1108632372
80219,Hohenweiler,1266,31.10.2008,2010,31.12.2010,131585032,0,0,131585032,222081882,222081882
80220,Kennelbach,1888,31.10.2008,2010,31.12.2010,137523644,0,1274611,150269754,382516515,382516515
80221,Krumbach,992,31.10.2008,2010,31.12.2010,1194943,0,0,1194943,193013635,193013635
80222,Langen b.Breg.,1351,31.10.2008,2010,31.12.2010,11453488,0,0,11453488,245092669,245092669
80223,Langenegg,1052,31.10.2008,2010,31.12.2010,202165596,0,0,202165596,257577428,257577428
80224,Lauterach,9197,31.10.2008,2010,31.12.2010,1222235508,4531000,10727880,1925831779,2197970925,2197970925
80225,Lingenau,1320,31.10.2008,2010,31.12.2010,508743294,4761900,31647195,1016580489,316713754,316713754
80226,Lochau,5319,31.10.2008,2010,31.12.2010,488696825,0,757955,527412144,135153073,135153073
80227,Mellau,1289,31.10.2008,2010,31.12.2010,175268201,725000,0,247768201,38260336,38260336
80228,Mittelberg,4845,31.10.2008,2010,31.12.2010,1592094923,1344600,0,1726554923,2504755434,2504755434
80229,Möggers,541,31.10.2008,2010,31.12.2010,118602577,0,2574396,121176973,129360698,139762446
80230,Reuthe,613,31.10.2008,2010,31.12.2010,27205865,0,0,27205865,19781643,19781643
80231,Riefensberg,987,31.10.2008,2010,31.12.2010,45880759,0,0,45880759,234060259,234060259
80232,Schnepfau,485,31.10.2008,2010,31.12.2010,18648315,548000,0,73448315,132017006,79070984
80233,Schoppernau,907,31.10.2008,2010,31.12.2010,91574753,2241300,0,315704753,237084861,237084861
80234,Schröcken,232,31.10.2008,2010,31.12.2010,314830542,0,0,314830542,198816303,22888962
80235,Schwarzach,3595,31.10.2008,2010,31.12.2010,228053661,9419200,0,1169973661,736349496,736349496
80236,Schwarzenberg,1788,31.10.2008,2010,31.12.2010,5053856,0,0,5053856,431396567,431396567
80237,Sibratsgfäll,385,31.10.2008,2010,31.12.2010,15528814,0,1006337,16535151,87174645,87174645
80238,Sulzberg,1753,31.10.2008,2010,31.12.2010,129041182,1171300,0,246171182,430194513,430194513
80239,Warth,182,31.10.2008,2010,31.12.2010,231032197,468200,0,277852197,422647512,422647512
80240,Wolfurt,8124,31.10.2008,2010,31.12.2010,164705257,0,9494230,164705257,1897105168,1897105168
80301,Dornbirn,44795,31.10.2008,2010,31.12.2010,1297166079,7000000,1042460,1443564666,214472209,214472209
80302,Hohenems,15088,31.10.2008,2010,31.12.2010,2657118436,9597100,15458327,3622535936,3089830246,3098770658
80303,Lustenau,20834,31.10.2008,2010,31.12.2010,5757033619,0,33251635,6054526231,6690078435,6689539377
80401,Altach,6315,31.10.2008,2010,31.12.2010,1725164076,0,9196077,1725164076,1843608908,1843116386
80402,Düns,379,31.10.2008,2010,31.12.2010,58543295,0,2920755,6146405,112870406,112870406
80403,Dünserberg,143,31.10.2008,2010,31.12.2010,73533844,0,993281,74527125,90854225,113025833
80404,Feldkirch,30581,31.10.2008,2010,31.12.2010,3586351221,9860400,40027498,4881860949,7998357484,8104965586
80405,Frastanz,6247,31.10.2008,2010,31.12.2010,728773066,4625000,6757612,1312404108,1321964575,1321964575
80406,Fraxern,650,31.10.2008,2010,31.12.2010,136199235,2426300,1074531,379903766,176019084,193535298
80407,Göfis,3000,31.10.2008,2010,31.12.2010,1244549629,0,0,1244549629,711261167,711261167
80408,Götzis,10653,31.10.2008,2010,31.12.2010,2365397497,3603500,12981819,2725747497,2606729224,2606729224
80409,Klaus,3088,31.10.2008,2010,31.12.2010,705526315,4654500,349718,1171326033,887543552,887543552
80410,Koblach,4128,31.10.2008,2010,31.12.2010,218555034,7282400,0,946795034,880759136,880759136
80411,Laterns,713,31.10.2008,2010,31.12.2010,226491011,0,12672695,239163706,320334209,320334209
80412,Mäder,3528,31.10.2008,2010,31.12.2010,580717877,2535000,208887292,1043105169,939212477,939212477
80413,Meiningen,1957,31.10.2008,2010,31.12.2010,60469891,0,0,60469891,382877749,382877749
80414,Rankweil,11562,31.10.2008,2010,31.12.2010,974425935,4901500,17205976,1464575935,3457365271,3457365271
80415,Röns,307,31.10.2008,2010,31.12.2010,59461802,1667000,0,226161802,159165177,159165177
80416,Röthis,1956,31.10.2008,2010,31.12.2010,233860538,0,0,233860538,511632491,511632491
80417,Satteins ,2572,31.10.2008,2010,31.12.2010,77954193,0,0,77954193,4231496,443622961
80418,Schlins,2260,31.10.2008,2010,31.12.2010,41947937,0,0,41947937,506108564,506108564
80419,Schnifis,742,31.10.2008,2010,31.12.2010,11068715,0,0,11068715,306392769,306392769
80420,Sulz,2361,31.10.2008,2010,31.12.2010,429478088,0,189857147,619335235,530352385,559092512
80421,Übersaxen,613,31.10.2008,2010,31.12.2010,151613135,959300,0,247543135,183839808,183839808
80422,Viktorsberg,383,31.10.2008,2010,31.12.2010,40658596,0,0,40658596,125224397,125224397
80423,Weiler,1920,31.10.2008,2010,31.12.2010,217230587,698900,27142488,314263075,469354666,469354666
80424,Zwischenwasser ,3109,31.10.2008,2010,31.12.2010,351055224,1419600,0,493015224,53822406,523608557
80101,Bartholomäberg,2251,31.10.2009,2011,31.12.2011,440351418,0,261246737,701598155,536599604,536599604
80102,Blons,328,31.10.2009,2011,31.12.2011,181795019,2243000,0,406095019,152084078,152084078
80103,Bludenz  ,13778,31.10.2009,2011,31.12.2011,212028892,7363500,17559087,2879625466,3521852612,3521852612
80104,Bludesch,2283,31.10.2009,2011,31.12.2011,470105735,400200,28944344,539070079,580588241,580588241
80105,Brand,656,31.10.2009,2011,31.12.2011,537807399,0,0,537807399,368332918,368332918
80106,Bürs,3113,31.10.2009,2011,31.12.2011,553412642,2574200,88726171,899558813,1124098457,1124098457
80107,Bürserberg,531,31.10.2009,2011,31.12.2011,49221421,0,0,49221421,280859812,280859812
80108,Dalaas,1517,31.10.2009,2011,31.12.2011,443823121,485800,0,492403121,364132088,364132088
80109,Fontanella,425,31.10.2009,2011,31.12.2011,363322498,0,0,363322498,257043664,307824578
80110,Gaschurn,1546,31.10.2009,2011,31.12.2011,293594549,1260100,0,419604549,753604011,668165681
80111,Innerbraz,971,31.10.2009,2011,31.12.2011,44648107,423700,2179253,8919736,219742816,219742816
80112,Klösterle,719,31.10.2009,2011,31.12.2011,7251473,0,0,7251473,634195375,634195375
80113,Lech,1642,31.10.2009,2011,31.12.2011,288721048,12288800,965287,1518566335,1950789165,1681773241
80114,Lorüns,276,31.10.2009,2011,31.12.2011,82215673,0,0,82215673,123973751,123973751
80115,Ludesch,3225,31.10.2009,2011,31.12.2011,1281929578,6353400,0,1917269578,850972988,850972988
80116,Nenzing,6057,31.10.2009,2011,31.12.2011,1500798513,3009300,7702887,2293308391,1522269467,1522269467
80117,Nüziders,4875,31.10.2009,2011,31.12.2011,495302589,8367700,101693895,1433766484,1175015916,1175015916
80118,Raggal,857,31.10.2009,2011,31.12.2011,227246324,2039100,29679,434124224,27525354,27525354
80119,St. Anton i.M.,701,31.10.2009,2011,31.12.2011,200525547,0,0,200525547,204799959,204799959
80120,St. Gallenkirch,2221,31.10.2009,2011,31.12.2011,866887945,3601200,1993322,1229001267,1005818135,1187094713
80121,St. Gerold,367,31.10.2009,2011,31.12.2011,241581074,1025600,0,344141074,152657952,166689595
80122,Schruns,3679,31.10.2009,2011,31.12.2011,1093289614,654700,13749271,1172508885,1398214936,1477477323
80123,Silbertal,876,31.10.2009,2011,31.12.2011,425982784,0,44311,430413884,478971127,512735905
80124,Sonntag,684,31.10.2009,2011,31.12.2011,386668432,1019200,4198959,492787391,314173501,319910165
80125,Stallehr,255,31.10.2009,2011,31.12.2011,168290035,0,0,168290035,137437324,137437324
80126,Thüringen,2161,31.10.2009,2011,31.12.2011,254466994,3835800,0,638046994,58648839,586460089
80127,Thüringerberg,667,31.10.2009,2011,31.12.2011,57454656,1389600,0,196414656,215186401,215186401
80128,Tschagguns,2209,31.10.2009,2011,31.12.2011,488006242,2867800,0,774786242,690166975,781221056
80129,Vandans,2607,31.10.2009,2011,31.12.2011,796422534,1778800,0,974302534,657785315,729721649
80201,Alberschwende,3101,31.10.2009,2011,31.12.2011,270165263,13308400,22620185,1623625448,658251496,658251496
80202,Andelsbuch,2325,31.10.2009,2011,31.12.2011,187749408,0,0,187749408,506943417,506943417
80203,Au,1663,31.10.2009,2011,31.12.2011,13477396,1717400,0,30651396,361387573,361387573
80204,Bezau,1973,31.10.2009,2011,31.12.2011,336503534,300000,0,366503534,623937028,623937028
80205,Bildstein,714,31.10.2009,2011,31.12.2011,228011542,643600,0,292371542,193512147,247616375
80206,Bizau,1013,31.10.2009,2011,31.12.2011,28197203,0,0,28197203,180837756,180837756
80207,Bregenz,27377,31.10.2009,2011,31.12.2011,423205342,16646000,4657382,6166231686,924901434,924901434
80208,Buch,550,31.10.2009,2011,31.12.2011,19614149,0,0,19614149,220278573,220278573
80209,Damüls,322,31.10.2009,2011,31.12.2011,26714385,579300,0,32507385,280591222,280591222
80210,Doren,1035,31.10.2009,2011,31.12.2011,44544458,2251100,182838,287938258,3053981,308568249
80211,Egg ,3383,31.10.2009,2011,31.12.2011,338382117,5802700,110123,919753347,1038696413,1038696413
80212,Eichenberg,379,31.10.2009,2011,31.12.2011,90489826,0,0,90489826,134149367,134149367
80213,Fußach,3663,31.10.2009,2011,31.12.2011,329712696,6502600,0,979972696,826420315,826420315
80214,Gaißau,1649,31.10.2009,2011,31.12.2011,104757759,0,464900,151247759,439357575,439357575
80215,Hard,12480,31.10.2009,2011,31.12.2011,1048706694,0,16596622,1169783224,3329919641,3329919641
80216,Hittisau,1840,31.10.2009,2011,31.12.2011,73747655,0,1721358,75469013,491611735,491611735
80217,Höchst,7762,31.10.2009,2011,31.12.2011,190000572,3735100,9057623,227351572,1801259293,1801259293
80218,Hörbranz,6370,31.10.2009,2011,31.12.2011,101068914,0,5463872,136280978,1090832903,1090832903
80219,Hohenweiler,1272,31.10.2009,2011,31.12.2011,114465049,0,0,114465049,237461565,237461565
80220,Kennelbach,1867,31.10.2009,2011,31.12.2011,248502802,0,12032195,260534997,531843954,531843954
80221,Krumbach,997,31.10.2009,2011,31.12.2011,92307901,0,0,92307901,252362564,252362564
80222,Langen b.Breg.,1317,31.10.2009,2011,31.12.2011,8923346,0,0,8923346,269473711,269473711
80223,Langenegg,1057,31.10.2009,2011,31.12.2011,175547598,0,0,175547598,28904974,28904974
80224,Lauterach,9269,31.10.2009,2011,31.12.2011,1241069034,2599400,10275776,1706148624,2035782485,2035782485
80225,Lingenau,1302,31.10.2009,2011,31.12.2011,497757573,4695500,26433883,993741456,348529134,348529134
80226,Lochau,5357,31.10.2009,2011,31.12.2011,67780428,0,5960262,72645681,1206093464,1206093464
80227,Mellau,1299,31.10.2009,2011,31.12.2011,186720271,796400,0,266360271,414219073,414219073
80228,Mittelberg,4825,31.10.2009,2011,31.12.2011,1472765558,1251800,0,1597945558,2385412874,2385412874
80229,Möggers,533,31.10.2009,2011,31.12.2011,153373305,0,0,153373305,186911534,186911534
80230,Reuthe,618,31.10.2009,2011,31.12.2011,24435379,0,0,24435379,243986916,243986916
80231,Riefensberg,1010,31.10.2009,2011,31.12.2011,41394858,0,0,41394858,249190081,249190081
80232,Schnepfau,471,31.10.2009,2011,31.12.2011,16669792,478100,0,64479792,12585135,89034681
80233,Schoppernau,914,31.10.2009,2011,31.12.2011,81079016,2076300,0,288709016,237170854,237170854
80234,Schröcken,226,31.10.2009,2011,31.12.2011,30855105,0,0,30855105,246368785,310803499
